transaction_id,customer_id,product_id,store_id,transaction_date,transaction_time,quantity,unit_price,discount_pct,total_amount,payment_method,status,source_system
TXN0000001,CUST0116,PROD0008,STORE007,2023-07-24,13:46:06,3,1038.52,0.25,2336.67,UPI,Returned,WebApp
TXN0000002,CUST0171,PROD0009,STORE006,2023-08-31,02:05:53,2,1284.62,0.21,2029.7,Credit Card,Completed,WebApp
TXN0000003,CUST0025,PROD0024,STORE006,2023-10-28,17:35:21,2,1497.89,0.17,2486.5,Wallet,Completed,WebApp
TXN0000004,CUST0091,PROD0022,STORE007,2023-11-04,09:22:06,1,760.72,0.29,540.11,Cash,Pending,POS
TXN0000005,CUST0040,PROD0022,STORE008,2023-06-29,17:23:07,2,760.72,0.25,1141.08,UPI,Pending,POS
TXN0000006,CUST0110,PROD0018,STORE001,2023-12-22,08:01:11,5,32.14,0.28,115.7,UPI,Completed,WebApp
TXN0000007,CUST0090,PROD0001,STORE003,2023-07-25,02:09:47,2,975.0,0.17,1618.5,Wallet,Completed,POS
TXN0000008,CUST0192,PROD0017,STORE004,2023-06-24,05:23:19,4,383.47,0.13,1334.48,Wallet,Completed,MobileApp
TXN0000009,CUST0153,PROD0003,STORE001,2023-11-13,01:43:05,2,463.5,0.05,880.65,UPI,Returned,MobileApp
TXN0000010,CUST0109,PROD0016,STORE008,2023-09-20,03:22:27,4,423.14,0.08,1557.16,Credit Card,Completed,MobileApp
TXN0000011,CUST0174,PROD0019,STORE008,2023-01-24,07:25:38,5,33.51,0.2,134.04,Credit Card,Completed,POS
TXN0000012,CUST0078,PROD0007,STORE003,2023-03-03,00:31:47,3,1252.2,0.09,3418.51,Net Banking,Completed,POS
TXN0000013,CUST0098,PROD0018,STORE004,2023-12-09,11:04:25,5,32.14,0.17,133.38,Wallet,Completed,WebApp
TXN0000014,CUST0005,PROD0015,STORE002,2023-10-21,12:45:40,3,1221.45,0.17,3041.41,Net Banking,Completed,POS
TXN0000015,CUST0104,PROD0001,STORE006,2023-11-13,14:53:44,2,975.0,0.24,1482.0,UPI,Completed,WebApp
TXN0000016,CUST0028,PROD0008,STORE007,2023-02-10,12:55:19,5,1038.52,0.12,4569.49,Wallet,Completed,POS
TXN0000017,CUST0086,PROD0025,STORE003,2023-02-28,16:32:12,1,740.5,0.15,629.42,UPI,Completed,MobileApp
TXN0000018,CUST0166,PROD0005,STORE004,2023-04-12,05:38:09,1,1009.02,0.04,968.66,Wallet,Completed,POS
TXN0000019,CUST0198,PROD0021,STORE008,2023-10-24,14:43:59,4,1169.25,0.23,3601.29,Cash,Pending,WebApp
TXN0000020,CUST0161,PROD0011,STORE003,2023-08-15,20:19:50,4,421.06,0.02,1650.56,UPI,Pending,POS
TXN0000021,CUST0091,PROD0017,STORE002,2023-01-20,01:23:53,3,383.47,0.14,989.35,UPI,Completed,MobileApp
TXN0000022,CUST0024,PROD0020,STORE007,2023-01-22,14:58:51,4,793.87,0.17,2635.65,Cash,Completed,WebApp
TXN0000023,CUST0155,PROD0016,STORE003,2023-06-25,22:05:32,1,423.14,0.14,363.9,Wallet,Completed,POS
TXN0000024,CUST0064,PROD0023,STORE008,2023-11-09,05:23:23,4,459.43,0.16,1543.68,UPI,Returned,WebApp
TXN0000025,CUST0199,PROD0011,STORE001,2023-02-18,17:43:24,3,421.06,0.02,1237.92,UPI,Completed,MobileApp
TXN0000026,CUST0169,PROD0020,STORE003,2023-12-06,04:58:22,3,793.87,0.02,2333.98,UPI,Returned,POS
TXN0000027,CUST0153,PROD0023,STORE002,2023-11-26,10:52:08,3,459.43,0.17,1143.98,Wallet,Pending,POS
TXN0000028,CUST0166,PROD0022,STORE007,2023-07-05,09:11:13,5,760.72,0.11,3385.2,UPI,Returned,POS
TXN0000029,CUST0058,PROD0005,STORE003,2023-02-21,16:49:34,1,1009.02,0.09,918.21,Wallet,Pending,POS
TXN0000030,CUST0170,PROD0011,STORE003,2023-03-25,05:53:44,5,421.06,0.11,1873.72,Cash,Completed,MobileApp
TXN0000031,CUST0113,PROD0002,STORE007,2023-05-02,14:39:18,3,977.37,0.2,2345.69,Wallet,Returned,POS
TXN0000032,CUST0137,PROD0008,STORE005,2023-04-10,11:43:36,4,1038.52,0.27,3032.48,Net Banking,Returned,WebApp
TXN0000033,CUST0200,PROD0013,STORE007,2023-11-06,04:55:16,2,85.36,0.25,128.04,Credit Card,Returned,WebApp
TXN0000034,CUST0142,PROD0004,STORE002,2023-03-24,08:28:57,3,1332.02,0.03,3876.18,Cash,Completed,WebApp
TXN0000035,CUST0024,PROD0008,STORE008,2023-08-01,01:25:32,3,1038.52,0.28,2243.2,UPI,Completed,WebApp
TXN0000036,CUST0021,PROD0012,STORE004,2023-02-20,22:41:21,1,997.53,0.1,897.78,Debit Card,Completed,POS
TXN0000037,CUST0074,PROD0016,STORE003,2023-01-03,02:01:16,4,423.14,0.13,1472.53,Debit Card,Completed,MobileApp
TXN0000038,CUST0187,PROD0020,STORE007,2023-05-02,09:07:03,1,793.87,0.23,611.28,Debit Card,Returned,MobileApp
TXN0000039,CUST0160,PROD0015,STORE002,2023-09-13,19:34:01,1,1221.45,0.25,916.09,Wallet,Pending,MobileApp
TXN0000040,CUST0062,PROD0023,STORE003,2023-11-11,11:15:36,3,459.43,0.13,1199.11,Net Banking,Completed,MobileApp
TXN0000041,CUST0172,PROD0003,STORE006,2023-10-06,16:50:32,1,463.5,0.29,329.08,Cash,Completed,WebApp
TXN0000042,CUST0121,PROD0002,STORE007,2023-01-09,11:50:04,3,977.37,0.08,2697.54,UPI,Completed,MobileApp
TXN0000043,CUST0169,PROD0021,STORE002,2023-06-20,04:02:22,5,1169.25,0.22,4560.07,Cash,Completed,MobileApp
TXN0000044,CUST0045,PROD0025,STORE008,2023-03-11,02:45:49,4,740.5,0.19,2399.22,Net Banking,Completed,WebApp
TXN0000045,CUST0052,PROD0002,STORE004,2023-06-08,16:25:52,1,977.37,0.09,889.41,Cash,Returned,WebApp
TXN0000046,CUST0010,PROD0025,STORE004,2023-01-25,20:21:17,3,740.5,0.11,1977.13,Credit Card,Completed,WebApp
TXN0000047,CUST0103,PROD0024,STORE008,2023-04-06,15:44:31,4,1497.89,0.1,5392.4,UPI,Pending,WebApp
TXN0000048,CUST0022,PROD0024,STORE007,2023-04-03,17:18:20,1,1497.89,0.13,1303.16,Credit Card,Completed,WebApp
TXN0000049,CUST0170,PROD0010,STORE005,2023-08-07,05:44:28,4,1353.53,0.18,4439.58,UPI,Returned,POS
TXN0000050,CUST0187,PROD0012,STORE007,2023-01-30,02:42:40,3,997.53,0.19,2424.0,Net Banking,Completed,MobileApp
TXN0000051,CUST0192,PROD0022,STORE003,2023-11-08,21:50:28,1,760.72,0.04,730.29,Credit Card,Completed,POS
TXN0000052,CUST0061,PROD0025,STORE006,2023-10-18,01:38:09,3,740.5,0.11,1977.13,Wallet,Returned,WebApp
TXN0000053,CUST0096,PROD0015,STORE002,2023-07-07,12:20:41,5,1221.45,0.04,5862.96,UPI,Completed,POS
TXN0000054,CUST0007,PROD0024,STORE003,2023-10-15,03:16:49,4,1497.89,0.16,5032.91,UPI,Returned,POS
TXN0000055,CUST0157,PROD0010,STORE008,2023-02-07,14:11:57,2,1353.53,0.04,2598.78,Wallet,Returned,POS
TXN0000056,CUST0175,PROD0011,STORE006,2023-05-29,09:54:10,1,421.06,0.16,353.69,Wallet,Completed,WebApp
TXN0000057,CUST0131,PROD0008,STORE002,2023-05-02,15:01:23,2,1038.52,0.24,1578.55,Cash,Pending,WebApp
TXN0000058,CUST0120,PROD0018,STORE003,2023-02-03,09:25:45,5,32.14,0.27,117.31,Wallet,Returned,MobileApp
TXN0000059,CUST0106,PROD0025,STORE007,2023-06-12,20:04:28,5,740.5,0.02,3628.45,Net Banking,Pending,WebApp
TXN0000060,CUST0033,PROD0025,STORE003,2023-01-29,03:33:09,2,740.5,0.13,1288.47,UPI,Completed,POS
TXN0000061,CUST0083,PROD0023,STORE004,2023-09-23,09:54:05,3,459.43,0.28,992.37,UPI,Completed,MobileApp
TXN0000062,CUST0142,PROD0009,STORE003,2023-02-17,16:41:10,3,1284.62,0.18,3160.17,Cash,Pending,POS
TXN0000063,CUST0044,PROD0022,STORE006,2023-01-15,02:02:41,5,760.72,0.01,3765.56,Cash,Completed,MobileApp
TXN0000064,CUST0054,PROD0025,STORE007,2023-09-12,20:34:18,5,740.5,0.19,2999.03,Wallet,Completed,WebApp
TXN0000065,CUST0063,PROD0022,STORE007,2023-12-19,01:10:28,3,760.72,0.14,1962.66,Net Banking,Returned,WebApp
TXN0000066,CUST0053,PROD0011,STORE003,2023-06-13,23:55:22,3,421.06,0.26,934.75,Net Banking,Completed,WebApp
TXN0000067,CUST0132,PROD0018,STORE002,2023-03-04,08:28:15,3,32.14,0.07,89.67,Debit Card,Completed,POS
TXN0000068,CUST0075,PROD0013,STORE007,2023-03-23,10:59:36,2,85.36,0.29,121.21,Wallet,Completed,POS
TXN0000069,CUST0196,PROD0006,STORE008,2023-06-07,15:01:05,5,885.14,0.14,3806.1,Net Banking,Pending,WebApp
TXN0000070,CUST0062,PROD0007,STORE006,2023-09-11,19:56:53,1,1252.2,0.02,1227.16,Wallet,Returned,WebApp
TXN0000071,CUST0138,PROD0001,STORE002,2023-05-16,23:23:48,4,975.0,0.04,3744.0,Net Banking,Completed,POS
TXN0000072,CUST0103,PROD0002,STORE004,2023-02-07,12:32:28,3,977.37,0.17,2433.65,Cash,Completed,MobileApp
TXN0000073,CUST0175,PROD0020,STORE002,2023-07-21,11:50:21,2,793.87,0.29,1127.3,Cash,Completed,POS
TXN0000074,CUST0051,PROD0020,STORE007,2023-01-20,04:45:21,5,793.87,0.01,3929.66,Net Banking,Pending,WebApp
TXN0000075,CUST0039,PROD0020,STORE003,2023-06-13,05:25:39,3,793.87,0.28,1714.76,Wallet,Completed,MobileApp
TXN0000076,CUST0087,PROD0017,STORE008,2023-01-09,11:21:43,5,383.47,0.09,1744.79,Credit Card,Returned,MobileApp
TXN0000077,CUST0079,PROD0024,STORE001,2023-12-02,18:36:14,5,1497.89,0.14,6440.93,Wallet,Completed,MobileApp
TXN0000078,CUST0123,PROD0006,STORE007,2023-05-05,01:36:44,2,885.14,0.25,1327.71,Credit Card,Completed,POS
TXN0000079,CUST0113,PROD0011,STORE007,2023-04-15,13:32:49,2,421.06,0.12,741.07,Cash,Returned,MobileApp
TXN0000080,CUST0187,PROD0002,STORE003,2023-06-16,21:30:33,5,977.37,0.06,4593.64,Net Banking,Completed,POS
TXN0000081,CUST0118,PROD0018,STORE006,2023-12-15,20:51:44,5,32.14,0.11,143.02,UPI,Pending,WebApp
TXN0000082,CUST0050,PROD0008,STORE005,2023-06-02,09:45:13,5,1038.52,0.09,4725.27,Wallet,Returned,WebApp
TXN0000083,CUST0123,PROD0012,STORE005,2023-12-13,17:24:57,3,997.53,0.04,2872.89,Net Banking,Completed,POS
TXN0000084,CUST0075,PROD0002,STORE005,2023-08-15,20:16:47,1,977.37,0.1,879.63,Net Banking,Completed,POS
TXN0000085,CUST0138,PROD0009,STORE005,2023-10-28,07:15:03,2,1284.62,0.03,2492.16,Wallet,Pending,POS
TXN0000086,CUST0164,PROD0008,STORE001,2023-08-30,03:43:49,1,1038.52,0.12,913.9,Debit Card,Completed,MobileApp
TXN0000087,CUST0041,PROD0014,STORE008,2023-05-28,10:18:41,4,112.23,0.2,359.14,Credit Card,Completed,MobileApp
TXN0000088,CUST0147,PROD0008,STORE001,2023-04-01,01:53:25,2,1038.52,0.13,1807.02,Net Banking,Completed,MobileApp
TXN0000089,CUST0075,PROD0002,STORE001,2023-02-24,10:18:29,3,977.37,0.17,2433.65,Wallet,Pending,MobileApp
TXN0000090,CUST0127,PROD0005,STORE008,2023-02-27,10:10:46,3,1009.02,0.06,2845.44,Net Banking,Completed,MobileApp
TXN0000091,CUST0048,PROD0001,STORE006,2023-04-09,05:39:54,3,975.0,0.17,2427.75,Wallet,Returned,WebApp
TXN0000092,CUST0132,PROD0011,STORE002,2023-04-05,04:30:20,4,421.06,0.2,1347.39,Debit Card,Completed,WebApp
TXN0000093,CUST0099,PROD0008,STORE008,2023-06-04,18:46:36,3,1038.52,0.29,2212.05,Credit Card,Completed,MobileApp
TXN0000094,CUST0093,PROD0023,STORE004,2023-08-27,09:10:25,1,459.43,0.2,367.54,Wallet,Pending,MobileApp
TXN0000095,CUST0198,PROD0010,STORE002,2023-04-24,07:08:30,3,1353.53,0.11,3613.93,Debit Card,Returned,MobileApp
TXN0000096,CUST0156,PROD0012,STORE007,2023-10-03,21:52:13,5,997.53,0.27,3640.98,Debit Card,Pending,POS
TXN0000097,CUST0135,PROD0015,STORE006,2023-02-27,01:53:35,1,1221.45,0.28,879.44,Cash,Completed,MobileApp
TXN0000098,CUST0138,PROD0005,STORE003,2023-08-15,03:43:13,3,1009.02,0.26,2240.02,Wallet,Pending,WebApp
TXN0000099,CUST0024,PROD0017,STORE008,2023-09-20,13:29:36,1,383.47,0.14,329.78,Credit Card,Pending,WebApp
TXN0000100,CUST0173,PROD0010,STORE001,2023-01-02,23:13:37,4,1353.53,0.08,4980.99,Credit Card,Completed,WebApp
TXN0000101,CUST0089,PROD0023,STORE002,2023-02-05,15:02:18,5,459.43,0.3,1608.0,Net Banking,Completed,POS
TXN0000102,CUST0197,PROD0021,STORE007,2023-07-15,14:55:58,3,1169.25,0.3,2455.42,Net Banking,Returned,POS
TXN0000103,CUST0175,PROD0022,STORE003,2023-10-03,12:33:08,3,760.72,0.04,2190.87,Wallet,Completed,POS
TXN0000104,CUST0194,PROD0001,STORE005,2023-10-06,13:34:24,4,975.0,0.2,3120.0,Debit Card,Completed,WebApp
TXN0000105,CUST0089,PROD0005,STORE005,2023-02-27,01:51:42,2,1009.02,0.28,1452.99,Net Banking,Pending,POS
TXN0000106,CUST0062,PROD0007,STORE002,2023-08-17,19:43:45,1,1252.2,0.18,1026.8,Credit Card,Completed,MobileApp
TXN0000107,CUST0012,PROD0013,STORE008,2023-01-29,04:32:18,2,85.36,0.16,143.4,Debit Card,Pending,WebApp
TXN0000108,CUST0148,PROD0020,STORE006,2023-03-15,21:33:14,2,793.87,0.09,1444.84,Net Banking,Completed,WebApp
TXN0000109,CUST0016,PROD0018,STORE003,2023-01-25,11:41:42,4,32.14,0.17,106.7,Net Banking,Pending,WebApp
TXN0000110,CUST0179,PROD0014,STORE007,2023-04-05,17:30:15,2,112.23,0.09,204.26,Debit Card,Completed,MobileApp
TXN0000111,CUST0037,PROD0015,STORE001,2023-08-02,17:33:08,5,1221.45,0.12,5374.38,Net Banking,Completed,WebApp
TXN0000112,CUST0053,PROD0011,STORE002,2023-02-17,17:46:53,4,421.06,0.25,1263.18,Debit Card,Completed,WebApp
TXN0000113,CUST0097,PROD0022,STORE001,2023-10-28,23:42:35,1,760.72,0.06,715.08,Debit Card,Returned,POS
TXN0000114,CUST0086,PROD0010,STORE001,2023-03-02,23:48:30,2,1353.53,0.28,1949.08,Debit Card,Pending,MobileApp
TXN0000115,CUST0053,PROD0013,STORE004,2023-05-25,12:29:34,5,85.36,0.1,384.12,Wallet,Completed,WebApp
TXN0000116,CUST0067,PROD0012,STORE008,2023-08-29,10:58:13,4,997.53,0.03,3870.42,UPI,Completed,WebApp
TXN0000117,CUST0012,PROD0019,STORE004,2023-10-11,18:37:46,2,33.51,0.0,67.02,Net Banking,Completed,POS
TXN0000118,CUST0051,PROD0011,STORE004,2023-05-06,15:35:41,4,421.06,0.17,1397.92,Wallet,Completed,WebApp
TXN0000119,CUST0196,PROD0016,STORE008,2023-06-30,05:08:46,4,423.14,0.05,1607.93,Cash,Returned,POS
TXN0000120,CUST0139,PROD0021,STORE001,2023-02-08,21:03:48,5,1169.25,0.01,5787.79,Credit Card,Returned,POS
TXN0000121,CUST0162,PROD0008,STORE002,2023-09-16,14:23:03,2,1038.52,0.0,2077.04,Cash,Pending,WebApp
TXN0000122,CUST0169,PROD0016,STORE001,2023-07-30,00:01:33,1,423.14,0.16,355.44,Wallet,Completed,MobileApp
TXN0000123,CUST0074,PROD0001,STORE007,2023-02-19,16:09:15,2,975.0,0.03,1891.5,Debit Card,Pending,MobileApp
TXN0000124,CUST0065,PROD0012,STORE005,2023-07-27,14:36:15,4,997.53,0.02,3910.32,Wallet,Completed,WebApp
TXN0000125,CUST0176,PROD0003,STORE001,2023-07-13,17:30:03,1,463.5,0.12,407.88,Wallet,Completed,MobileApp
TXN0000126,CUST0044,PROD0003,STORE008,2023-06-19,18:54:06,4,463.5,0.19,1501.74,Cash,Completed,POS
TXN0000127,CUST0055,PROD0023,STORE008,2023-02-08,21:59:17,3,459.43,0.01,1364.51,Cash,Pending,MobileApp
TXN0000128,CUST0009,PROD0006,STORE006,2023-10-28,04:48:52,1,885.14,0.29,628.45,Wallet,Returned,POS
TXN0000129,CUST0077,PROD0006,STORE004,2023-07-19,21:57:34,5,885.14,0.25,3319.27,UPI,Returned,MobileApp
TXN0000130,CUST0036,PROD0023,STORE002,2023-06-27,01:06:27,5,459.43,0.22,1791.78,Debit Card,Completed,WebApp
TXN0000131,CUST0155,PROD0025,STORE007,2023-05-20,14:31:14,3,740.5,0.01,2199.28,UPI,Pending,WebApp
TXN0000132,CUST0111,PROD0006,STORE007,2023-06-01,07:45:04,1,885.14,0.23,681.56,Credit Card,Completed,POS
TXN0000133,CUST0098,PROD0023,STORE003,2023-02-24,02:00:19,4,459.43,0.1,1653.95,Net Banking,Completed,WebApp
TXN0000134,CUST0027,PROD0005,STORE002,2023-10-13,17:32:26,2,1009.02,0.13,1755.69,Credit Card,Completed,POS
TXN0000135,CUST0091,PROD0018,STORE002,2023-06-16,12:00:18,5,32.14,0.18,131.77,Net Banking,Returned,POS
TXN0000136,CUST0186,PROD0018,STORE004,2023-12-17,12:10:08,5,32.14,0.16,134.99,UPI,Completed,WebApp
TXN0000137,CUST0127,PROD0005,STORE002,2023-08-04,09:30:50,2,1009.02,0.13,1755.69,Credit Card,Completed,WebApp
TXN0000138,CUST0064,PROD0024,STORE008,2023-08-23,03:08:19,5,1497.89,0.19,6066.45,Credit Card,Returned,WebApp
TXN0000139,CUST0159,PROD0013,STORE006,2023-11-30,19:08:19,4,85.36,0.1,307.3,UPI,Pending,MobileApp
TXN0000140,CUST0052,PROD0016,STORE006,2023-06-13,09:47:44,2,423.14,0.29,600.86,Wallet,Returned,MobileApp
